table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,history_scans,component
ivmh,No Repair,25,25,RecentScan,16.357084,,25.0,,,,0,2,RecentScan
ivmh,No Repair,26,26,RecentScan,18.303875,,26.0,,,,0,2,RecentScan
ivmh,No Repair,27,27,MarkTs,0.0,,27.0,,,,0,2,
ivmh,No Repair,28,28,Update,0.014667,6.0,,,,,0,2,Update
ivmh,No Repair,29,29,RecentScan,16.168542,,29.0,,,,0,2,RecentScan
ivmh,No Repair,30,30,RecentScan,16.811,,30.0,,,,0,2,RecentScan
ivmh,No Repair,31,31,RecentScan,16.041667,,31.0,,,,0,2,RecentScan
ivmh,No Repair,32,32,RecentScan,16.418667,,32.0,,,,0,2,RecentScan
ivmh,No Repair,33,33,RecentScan,15.973584,,33.0,,,,0,2,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,0,2,
ivmh,No Repair,35,35,Update,0.012083,6.0,,,,,0,2,Update
ivmh,No Repair,0,0,InitLoad,16.008625,60000.0,,,,,1,2,BuildCUR
ivmh,No Repair,1,1,RecentScan,20.112459,,1.0,,,,1,2,RecentScan
ivmh,No Repair,2,2,RecentScan,19.855667,,2.0,,,,1,2,RecentScan
ivmh,No Repair,3,3,RecentScan,19.179875,,3.0,,,,1,2,RecentScan
ivmh,No Repair,4,4,RecentScan,16.696708,,4.0,,,,1,2,RecentScan
ivmh,No Repair,5,5,RecentScan,19.399875,,5.0,,,,1,2,RecentScan
ivmh,No Repair,6,6,MarkTs,0.0010409999999999998,,6.0,,,,1,2,
ivmh,No Repair,7,7,Update,0.024916,6.0,,,,,1,2,Update
ivmh,No Repair,8,8,MarkTs,56.086083,,6.0,,,HistoryScan,1,2,BuildSnap
ivmh,No Repair,8,8,HistoryScan,19.513792,,6.0,,,,1,2,HistoryScan
ivmh,No Repair,9,9,RecentScan,18.475916,,9.0,,,,1,2,RecentScan
ivmh,No Repair,10,10,RecentScan,18.476458,,10.0,,,,1,2,RecentScan
ivmh,No Repair,11,11,RecentScan,18.358875,,11.0,,,,1,2,RecentScan
