table_type,repair_type,idx,tx_id,tx_type,duration_ms,count,read_ts,from_ts,to_ts,build_reason,trial,table_label,history_scans,component
ivmh,No Repair,26,26,RecentScan,15.119458,,26.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,27,27,MarkTs,0.006417,,27.0,,,,1,IVMH,2,
ivmh,No Repair,28,28,Update,0.013583999999999999,6.0,,,,,1,IVMH,2,Update
ivmh,No Repair,29,29,RecentScan,16.269875,,29.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,30,30,RecentScan,16.114834,,30.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,31,31,RecentScan,17.198792,,31.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,32,32,RecentScan,17.030709,,32.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,33,33,RecentScan,16.887708,,33.0,,,,1,IVMH,2,RecentScan
ivmh,No Repair,34,34,MarkTs,0.0,,34.0,,,,1,IVMH,2,
ivmh,No Repair,35,35,Update,0.015042,6.0,,,,,1,IVMH,2,Update
ivmh,No Repair,0,0,InitLoad,13.635583,60000.0,,,,,0,IVMH,3,InitLoad
ivmh,No Repair,1,1,RecentScan,18.258042,,1.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,2,2,RecentScan,16.720833,,2.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,3,3,RecentScan,15.185458,,3.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,4,4,RecentScan,15.528833,,4.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,5,5,RecentScan,15.641917,,5.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,6,6,MarkTs,0.001209,,6.0,,,,0,IVMH,3,
ivmh,No Repair,7,7,Update,0.016875,6.0,,,,,0,IVMH,3,Update
ivmh,No Repair,8,8,MarkTs,46.005334,,6.0,,,HistoryScan,0,IVMH,3,BuildSnap
ivmh,No Repair,8,8,HistoryScan,18.947292,,6.0,,,,0,IVMH,3,HistoryScan
ivmh,No Repair,9,9,RecentScan,15.287958,,9.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,10,10,RecentScan,15.387333,,10.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,11,11,RecentScan,15.644834,,11.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,12,12,RecentScan,14.9755,,12.0,,,,0,IVMH,3,RecentScan
ivmh,No Repair,13,13,MarkTs,0.001333,,13.0,,,,0,IVMH,3,
ivmh,No Repair,14,14,Update,0.018833,6.0,,,,,0,IVMH,3,Update
ivmh,No Repair,15,15,MarkTs,47.219041,,13.0,,,HistoryScan,0,IVMH,3,BuildSnap
